,ID,A,B,C,D,AIC,chi-squared,r-squared,status
0,1614,101.83234325287977,-9.22453653038214,0.29051706651389253,-0.0029983166688215186,-17.949263555791024,0.1718509922500402,0.9856740651826427,C
0,1615,646.0766741585169,-39.01303475550983,0.7731073470371904,-0.005020740441620283,44.973593825927026,196.37543607192646,0.7327176171577092,C
0,1616,0.8675813244597959,-0.05797554320771164,0.0012554164434670425,-8.730616235145495e-06,-77.41886267006745,0.00018448981632480013,0.8208129208585133,C
0,1617,92.5751316311543,-0.8011257219210629,-0.0386079525978338,0.00046186375587693333,2.723827462897649,1.7405539158584729,0.9881517591457603,C
0,1618,34.079379344439666,-1.26392763786888,0.015549592878979284,-6.317652696290045e-05,-40.822507710007905,0.0002872770061210379,0.9564907837348476,C
0,1619,105.13633889485486,-5.6901930893880195,0.10211035478636926,-0.0006016174995656929,-4.3833600754123445,2.898661519514671,0.9680861692637671,C
0,1620,15.8204560832646,0.41173985854495593,-0.05009976861309383,0.0007743593461354735,-8.081214916978592,0.2005272620886681,0.9885068004959001,C
0,1621,-112.40253203618482,6.703363361679586,-0.11030561213543441,0.0005552971156483445,-12.505181639448772,0.37403664176867973,0.9933099810579293,C
0,1622,212.15942474042205,-7.348555152424346,0.08462997672441393,-0.00032201130975298864,-37.71900757257633,0.000534401247109719,0.999885548218327,C
0,1623,-4208.469636761309,249.94685296474307,-4.251044501483594,0.02245111863881064,26.064206629206073,185.35617386639473,0.9955708033107662,C
0,1624,-5364.72885052288,203.95034975252963,-2.571423079045281,0.010761366480765436,-1.8543386306452696,1.1611021663859074,0.9686224848632505,C
0,1625,-209.59452837434702,10.105075153235761,-0.148093294447818,0.000687458364200024,-24.91847074872505,0.23214727942292426,0.9945337061694813,C
0,1626,861.531545807981,-27.593667681434805,0.2941276591669464,-0.0010418564643369273,-13.986525932618314,0.15371400407524155,0.994160012230497,C
0,1627,-17002.13148377571,540.6655755369281,-5.724018752776074,0.02018186512131702,-2.391009902641885,0.6257752060780716,0.9690454845067894,C
0,1628,-11354.117179763341,353.8322529050255,-3.6626492644276456,0.012608916143084561,2.9055736970900643,1.8049856684783163,0.9034776460335374,C
0,1629,2410.050556692371,-27.91119477525347,-0.7415948322786907,0.009496863756779175,58.41493084193116,801.2322752486003,0.991318472294066,C
0,1630,525.261061794835,-0.22718991159489235,-0.2793344367394221,0.0026946994144217773,18.114723849912103,28.326054162951102,0.9937347678702928,C
0,1631,1981.0791561286908,-28.187692538812293,-0.45333494003989355,0.006638097434675929,36.03187290434775,383.93121967117514,0.9762636211839224,C
0,1632,-3.267613528650811,0.1470147335504175,-0.0012770032477876733,-9.581877286104951e-07,-10.030591512180976,1.213884466434837,0.49627371656286523,C
0,1633,44.67543711275701,-2.0286939486462443,0.030086947109538454,-0.00014397797493093532,-26.109093298205046,0.11256830110858955,0.9305789996169549,C
0,1634,41.26578919217007,-1.8520069586722891,0.027109145917885935,-0.00012780892809446115,-27.655800433229146,0.1712670874040548,0.8912468939653843,C
0,1635,328.11408042256795,-7.306774191265467,0.03125298021841181,0.00011738713834460822,-10.539775648488831,0.4952813820663687,0.9973577624257456,C
0,1636,22.485348676568858,-1.1160989611547247,0.01797943737379451,-9.28583533782553e-05,-70.35940789093617,0.01750893410934373,0.9813788263731587,C
0,1637,-257.76788890878254,26.279713183448745,-0.8425725499159189,0.00874141151941501,1.5289692940488155,2.777294329659039,0.9730399905853478,C
0,1638,26.93940201722212,-1.2529295768323192,0.018949222789078533,-9.113569357513014e-05,-39.672494660756605,0.02065866797654818,0.9905054411608066,C
0,1639,-24.347338669807346,5.9044178484043055,-0.30089611789240556,0.004449846137876832,-0.382703997354227,2.1135753804871835,0.9417227137858647,C
0,1640,812.3282072186335,-28.203241629325248,0.32832812202891193,-0.001273308875663057,-10.435630903664894,0.27780226887940845,0.985388737498878,C
0,1641,-1028.1746608592434,34.814783625712195,-0.38458185131845146,0.0013939401860006307,12.774282212709505,16.119235562372637,0.9721109134535467,C
0,1642,13.059731753066949,0.4477887786990843,-0.016456187687046653,0.00011369406263634835,-7.689203886347338,0.7442303425591064,0.9655506449165123,C
0,1643,-1.1011040451489542,0.08669601654777663,-0.0017071057415077634,8.643800043816267e-06,-44.57546217881323,0.05208068517911911,0.627987777054624,C
0,1644,1.5688437069493946,-0.1635106619927074,0.00522217761007202,-4.9107499291746087e-05,-57.12679975747082,0.029518948878765446,0.8487046343222269,C
0,1645,148.60135075936287,-4.558196943147332,0.041188651248632475,-8.878280643281201e-05,-8.37892708163276,0.6743968272267523,0.9932288311039262,C
0,1646,0.04953750910913932,-0.006713129658562524,0.0006260630089961204,-1.0356934219045672e-05,-87.55338148192821,0.00022045481393447624,0.9807534928539959,C
0,1647,50.41229456748349,-2.3340442638578764,0.03607164315879585,-0.00018486406552931282,-44.15657348941243,0.00014747132830558791,0.9777505492999179,C
0,1648,177.28515787794666,-9.831915524634319,0.18013355732910094,-0.0010785586456048227,-14.739117643283926,0.05295114324054398,0.9780263071534109,C
0,1649,40.776247413129866,-2.510423918142408,0.05012344673614387,-0.0003180231949225944,-28.40865012769612,0.08444627680370302,0.9798836714791106,C
0,1650,-330.66168167821155,17.14336298294832,-0.26670981227410506,0.001313200198884021,-11.058085085159853,0.2504269431850986,0.997241107559156,C
0,1651,5275.882102129429,-154.10994867329615,1.4929534954276615,-0.004793313171803502,-17.848229281854564,0.028432911647829573,0.9998812617407152,C
0,1652,29.867258836674107,-1.583774354664585,0.027458894653904956,-0.000154470181163488,-33.26326150514459,0.04602980550938003,0.8777632745200752,C
0,1653,2.1959945649725277,-0.2673784313095223,0.010644002230444016,-0.00012245818836067264,-40.15055204142715,0.007206728736959796,0.9794302250842274,C
0,1654,31.008383942057602,-1.649528601102451,0.028924442113492255,-0.00016642070045551295,-57.435170688232205,0.0022429691120724867,0.9736478219005958,C
0,1655,0.39074762492407356,-0.036341831964803145,0.00107669123776848,-9.76212997225918e-06,-172.3891353228827,0.0007997216157621331,0.8742041743072624,C
0,1656,-22.65521498892016,1.3483448278194772,-0.026649449648424004,0.0001757154877302363,-101.37220889490868,0.0013208971799872707,0.981331377171012,C
0,1657,0.8904076790406537,-0.06012171583121241,0.0013291339240312562,-9.519431628457398e-06,-178.7752190344318,5.866712331419068e-05,0.9146625438595047,C
0,1658,0.1062657923468447,-0.0103273564565529,0.0003018254582970415,-2.5636067276320927e-06,-250.14808361879415,0.0001763638535043209,0.9165371861252349,C
