,ID,A,B,C,D,AIC,BIC,chi-squared
0,586,-55685.4048779,545.696631488,-1.78164023798,0.00193799570994,6.75435708135,5.92139495826,4.87515703442
0,587,-64471.9718256,633.241308552,-2.07214010287,0.00225903654136,7.6736455273,6.84068340421,5.6823623736
0,588,-54121.6968033,526.755167699,-1.70761028478,0.00184374229574,11.6073024917,10.7743403686,10.9460269103
0,589,-46081.7378059,451.516893434,-1.47420244839,0.0016038633715,-0.338892242318,-1.17185436541,1.49472776834
0,590,19070.7603215,-187.145472078,0.611442798066,-0.000665432831181,-12.5625833307,-13.3955454538,0.194886536756
0,591,24710.4086995,-245.761414316,0.814061977546,-0.000898413635371,-11.0130498692,-11.8460119923,0.252313687065
0,592,30423.4123633,-300.510012315,0.988452246126,-0.00108303073937,-10.4271874085,-11.2601495316,0.2781934811
0,593,20081.0029597,-198.134747404,0.650973604907,-0.000712538431431,-2.28143305703,-3.11439518011,1.0813251644
0,594,-61071.95137,599.284797466,-1.9592529378,0.0021340645538,8.71475227396,7.88179015087,6.75906690161
0,595,-53626.5869083,526.477027036,-1.7222497265,0.00187724710449,6.48909585464,5.65613373155,4.66432025345
0,596,6506.77230912,-61.6246265743,0.193742170611,-0.000202475213762,-5.30343007715,-6.13639220023,0.653456784791
0,597,20564.9758482,-202.246182809,0.662256726656,-0.000722389784104,-6.60000823468,-7.43297035777,0.526462467603
0,598,22804.6834979,-225.545539158,0.742876148273,-0.000815165546484,-9.84248808012,-10.6754502032,0.306668308406
0,599,31844.2035377,-315.262169041,1.03940369837,-0.00114156370628,-11.2037097903,-12.0366719134,0.24442205138
0,600,2541.97309605,-26.5756549222,0.0924102915094,-0.000106723513682,-15.5648569566,-16.3978190797,0.118159875997
0,601,1957.56883369,-20.6928959375,0.0726798983752,-8.47135569414e-05,-27.7862420849,-28.619204208,0.0154119174016
0,602,-1332.50342548,13.2676943876,-0.044137128046,4.91775531936e-05,-62.1469103278,-62.3632697316,0.000311199292028
0,603,3175.12652211,-31.5910754685,0.104025817367,-0.000113815751424,-9.02582926528,-7.08620266613,2.90399549121
0,604,3094.65202755,-30.7077770147,0.100871463652,-0.000110128419359,-12.5855096242,-10.6458830251,2.15857334367
0,605,1683.65905646,-17.0123190408,0.0566738997913,-6.2681906163e-05,-16.351704645,-14.0919072151,1.99719023013
0,606,2060.95993564,-20.6675448152,0.0684742216257,-7.5375171782e-05,-17.6806693016,-16.0890882104,1.06533464734
0,607,2984.05264626,-29.6496011411,0.0974857624598,-0.000106490690636,-10.6200520993,-8.36025466943,3.10383255985
0,608,2593.46235908,-25.6752052704,0.0840834384273,-9.1504020781e-05,-5.86228808782,-4.27070699663,3.11954533367
0,609,1436.28436555,-14.4254411254,0.0477173694697,-5.23901541645e-05,-10.4952543751,-8.23545694525,3.1337722872
0,610,1675.09669583,-16.6366397359,0.0545336465794,-5.93859957528e-05,-11.8282954451,-10.2367143539,1.81361657529
0,611,-28368.4247916,279.477218213,-0.917477725955,0.00100331293639,15.8932686791,17.8328952783,23.1658460208
0,612,-17397.6996968,170.109550683,-0.554230074223,0.000601395203876,27.8110965026,29.7507231017,62.5415639141
0,613,-22610.1120605,223.024141437,-0.733137918873,0.000802822077479,22.4002105867,23.6105509586,42.2078470016
0,614,-24181.9875439,238.335740871,-0.782723350758,0.000856212494785,23.2052246223,24.4155649942,45.7461463424
0,615,-30568.5740799,297.550423911,-0.965087449665,0.00104271268794,14.2189340241,15.0078323334,17.9612605454
0,616,-43986.7527333,434.665729577,-1.4314724161,0.00157076676151,10.0612272689,10.3789934356,10.3511223173
0,617,-63539.1641341,641.875660508,-2.16098131086,0.00242425263482,11.5169127327,11.8346788994,12.4168650506
0,618,-68117.7257094,687.951048064,-2.31538341519,0.00259656016932,11.2452991464,11.5630653131,12.0023676558
0,619,-65504.7073599,661.776695388,-2.22812160258,0.00249972660177,11.249968145,11.5677343117,12.00937458
0,620,-832131.217437,8565.3949431,-29.3867596996,0.0336046546927,4.51440223021,2.95215387994,2.4900887651
0,621,-853014.38999,8782.33458075,-30.1377939957,0.0344711556732,5.04896602858,3.48671767832,2.77106332436
0,622,-836697.069897,8613.81217364,-29.557783262,0.0338059128112,5.5978107815,4.03556243123,3.0925626035
0,623,-858302.642538,8836.09969479,-30.3199845062,0.0346769339959,5.49794734441,3.93569899415,3.03140855554
0,624,28394.6342159,-292.375547846,1.00290144083,-0.00114631954336,-10.5109651581,-12.0732135084,0.12334683202
0,625,29630.1026173,-305.608315184,1.04997454108,-0.00120207183155,-6.10590120691,-7.66814955718,0.297678174035
0,626,-15874.7982351,163.481650724,-0.561870602173,0.000643919158896,-80.4746747039,-80.6910341077,2.269583582e-05
0,627,-111929.233625,1151.179882,-3.9471726709,0.00451142013464,-48.2313844601,-46.291757861,0.110687755491
0,628,14503.2923008,-143.814864042,0.474680508829,-0.000522002768967,-75.3147852577,-75.5311446615,4.74325417211e-05
0,629,-24732.4620499,244.800362523,-0.80836330748,0.000889994047893,-84.1660577829,-82.5744766917,0.00252670991112
0,630,-22311.2893706,219.014341809,-0.717292153893,0.000783261145013,-79.861680837,-77.3054515186,0.0263370913496
0,631,28727.2241212,-291.555542402,0.98537550382,-0.00110957024535,-42.1166257977,-40.9062854257,0.0665982161205
0,632,24202.9267238,-245.377899419,0.828311123755,-0.000931566044461,-53.1896609908,-51.9793206189,0.022007301241
0,633,31927.1366242,-324.155166742,1.09604728497,-0.00123475787998,-41.7070009355,-40.4966605635,0.0693828888272
0,634,20126.5562075,-203.860479816,0.687437628059,-0.000772298890189,-51.3855607702,-50.1752203983,0.026358328442
0,635,31776.4705112,-322.678963046,1.09123575159,-0.00122954368331,-38.1945052591,-36.9841648872,0.0985821140496
0,636,30945.45948,-315.043133174,1.06814463086,-0.00120665789912,-32.6400448899,-31.429704518,0.171800837258
0,637,33842.6207099,-343.850491255,1.16350982507,-0.00131175339687,-30.2661804926,-29.0558401206,0.217831607735
0,638,-209558.577706,2124.33199796,-7.17755904271,0.00808249172139,3.66455561704,2.10230726677,2.10086472932
0,639,-215249.310501,2182.48596701,-7.37560891553,0.00830723098359,4.26577344092,2.70352509065,2.36929537453
0,640,-206402.76273,2092.18902026,-7.06848356962,0.0079591622378,3.69516800628,2.13291965602,2.11376668275
0,641,-219026.711349,2220.89828003,-7.50574239322,0.00845412263255,4.21367028688,2.65142193662,2.34473401684
0,642,-207398.170411,2102.27978669,-7.10256337307,0.00799750986824,3.52030469806,1.95805634779,2.04112035768
0,643,-208364.191017,2111.34124793,-7.13067046386,0.00802627077123,3.15530000846,1.59305165819,1.89742539905
0,644,-203811.082219,2065.57690754,-6.97743410264,0.00785536605842,2.69264709934,1.13039874907,1.72973346869
0,645,20790.5835748,-213.220821831,0.728261742585,-0.000828737470465,-23.543308394,-23.7596677978,0.0772833482058
0,646,22299.6385995,-225.321799656,0.758037153922,-0.000849479907854,-4.12837456657,-4.34473397035,1.23773761726
0,647,-226814.697792,2299.89120451,-7.77226480728,0.00875366777917,4.4978107348,3.66484861172,3.34698941055
0,648,10579.5767617,-106.315457906,0.356170545392,-0.000397615892055,-89.6245745872,-86.0630875556,0.079403270677
0,649,21765.0453846,-218.59289708,0.731754056666,-0.000816310419104,-74.2314005436,-70.669913512,0.186739742394
0,650,-3082.50943591,31.62754986,-0.107975753856,0.000122838298168,-52.5063495812,-52.722708985,0.00123355618124
0,651,926.561444884,-9.77376417628,0.0344752169828,-4.04669333477e-05,-35.5619021606,-35.2441359939,0.0345345078123
0,652,28895.6392983,-292.073953945,0.98405715508,-0.00110495899005,-100.815791971,-97.2543049395,0.0426405321867
0,653,17117.6762829,-171.522008261,0.572833332034,-0.000637459867431,-77.82885053,-74.2673634985,0.152911230925
0,654,-2527.11351218,25.6331488367,-0.0864979139706,9.72808970672e-05,-60.6401514842,-59.8512531749,0.00438546804589
0,655,6582.84767215,-66.2738231272,0.222506881595,-0.000248951488126,-33.032991116,-32.2440928066,0.0942318864085
0,656,13995.5391446,-140.185453148,0.46803878523,-0.000520686638549,-30.7220386009,-29.9331402915,0.121818364879
0,657,11994.413778,-120.000785407,0.400191891653,-0.000444690581088,-70.1095921302,-66.5481050986,0.234793229385
0,658,-701.786906522,7.20521697701,-0.0244876508903,2.77296683764e-05,-62.5601982487,-61.7712999394,0.00354294332237
0,659,-4203.39615365,42.8261009844,-0.145214740998,0.000164052154661,-47.2984917487,-46.5095934394,0.0193115429096
0,660,2575.86439844,-26.5277890469,0.0908392283076,-0.000103408631579,-1253.0940275,-1237.52745066,11.1112604935
0,661,25937.7037965,-267.295437293,0.91719957685,-0.00104836456662,-9.35693111315,-8.14659074118,1.76277977673
0,662,32279.5072723,-332.917069982,1.14332874833,-0.00130783763122,-1.19703480898,-2.02999693206,1.29553059149
0,663,-2451.2609803,25.3153343511,-0.0878168246516,0.000101751921228,-175.725810281,-166.002543086,9.42725320577
0,664,67052.582517,-720.21568298,2.57715702388,-0.00307292044103,244.534533656,262.361612278,923.430421007
0,665,4401.83346519,-54.6979915205,0.221819016642,-0.000295721112672,8.96236543948,25.5219036484,464.963364133
